Source,Target,Type,Id,Label,Weight,7,8,9,10,11,12,13,14,15,16,17,18,19,20
30,69,Directed,338,,1,2025-01-24,"<[2025-01-24, 2025-01-24]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lgiaxn5zdk2g,0,0,0,0,0,0,0,0,teen vogue te amo,quoted,135
30,70,Directed,339,,1,2025-01-22,"<[2025-01-22, 2025-01-22]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lgeedstlpc2v,0,0,0,0,0,0,0,0,Dkfndkfndkfn debería estar subido prometido!,replied_to,136
30,71,Directed,340,,3,2024-12-03,"<[2024-12-03, 2024-12-03]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lcfok7i7u224,0,0,0,0,0,0,0,0,ah bueno vale,quoted,264
30,72,Directed,343,,4,2024-11-15,"<[2024-11-15, 2024-11-15]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3layosfv7jk2k,0,0,0,0,0,0,0,0,x.com/MisterJagger...,replied_to,386
30,73,Directed,347,,1,2025-01-16,"<[2025-01-16, 2025-01-16]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lfu3pc2q522g,0,0,0,0,0,0,0,0,dios qué temazo llevo un montón pensando en esto,quoted,146
30,74,Directed,348,,6,2024-11-14,"<[2024-11-14, 2024-11-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3law7s5r2gc2l,0,0,0,0,0,0,0,0,girl yo calculaba que serian unas 20 las mias y son 31 literal,replied_to,403
30,75,Directed,354,,1,2025-01-13,"<[2025-01-13, 2025-01-13]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lfmtevpl422g,0,0,0,0,0,0,0,0,llevo la mitad aprox y he tenido que levantarme para ir al baño y lavarme la cara con agua fria y respirar un poco que puto asco todo,quoted,154
30,76,Directed,355,,1,2025-01-13,"<[2025-01-13, 2025-01-13]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lfmmhh2jsc2g,0,0,0,0,0,0,0,0,<3,replied_to,155
30,77,Directed,356,,1,2025-01-09,"<[2025-01-09, 2025-01-09]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lfd4ki6xz22g,0,0,0,0,0,0,0,0,es fuertisimo esto,quoted,160
30,78,Directed,357,,1,2025-01-08,"<[2025-01-08, 2025-01-08]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lfbau56byk2i,0,0,0,0,0,0,0,0,Es que siempre son las luces de esta habitación,replied_to,161
30,79,Directed,358,,1,2025-01-03,"<[2025-01-03, 2025-01-03]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3letiz5tpwk2g,0,0,0,0,0,0,0,0,me muero tantisimo de la verguenza y a la vez me hace tan feliz saber lo infeliz que es,quoted,168
30,80,Directed,359,,1,2025-01-01,"<[2025-01-01, 2025-01-01]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lepctt3iuk2y,0,0,0,0,0,0,0,0,Si!!!,replied_to,169
30,81,Directed,360,,3,2024-12-03,"<[2024-12-03, 2024-12-03]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lcfa4bnrz224,0,0,0,0,0,0,0,0,qué guay jose <3,replied_to,266
30,82,Directed,363,,1,2024-12-30,"<[2024-12-30, 2024-12-30]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lejpqff3ek2g,0,0,0,0,0,0,0,0,dios lo amo gracias por tanto,replied_to,175
30,83,Directed,364,,1,2024-12-27,"<[2024-12-27, 2024-12-27]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lebsk6akwk2g,0,0,0,0,0,0,0,0,eh descubrir esto se siente como descubrir que banksy era la reina de inglaterra,replied_to,183
30,84,Directed,365,,1,2024-12-24,"<[2024-12-24, 2024-12-24]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3le2xmrvpds2p,0,0,0,0,0,0,0,0,Auraaaa un besazo,replied_to,189
30,85,Directed,366,,1,2024-12-20,"<[2024-12-20, 2024-12-20]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ldq6zjgfes2g,0,0,0,0,0,0,0,0,<3,quoted,202
30,86,Directed,367,,1,2024-12-20,"<[2024-12-20, 2024-12-20]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ldq6uwtiy22g,0,0,0,0,0,0,0,0,a nivel de logistica no? :____ es que cartelazo,replied_to,203
30,87,Directed,368,,1,2024-12-19,"<[2024-12-19, 2024-12-19]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ldoau2s4bc2g,0,0,0,0,0,0,0,0,malva é super importante e este artigo ainda máis <3,quoted,206
30,88,Directed,369,,1,2024-12-18,"<[2024-12-18, 2024-12-18]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ldlw3q6ra225,0,0,0,0,0,0,0,0,FELIZ NAVIDAD,quoted,209
30,89,Directed,370,,1,2024-12-17,"<[2024-12-17, 2024-12-17]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ldilxceoss2g,0,0,0,0,0,0,0,0,que dios te oiga,quoted,216
30,90,Directed,371,,5,2024-11-13,"<[2024-11-13, 2024-11-13]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lat5b6rbrc2l,0,0,0,0,0,0,0,0,literal :____,replied_to,407
30,91,Directed,376,,1,2024-12-13,"<[2024-12-13, 2024-12-13]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ld6iv6jme22g,0,0,0,0,0,0,0,0,es que literal es el workbook de ser mayor,replied_to,230
30,92,Directed,377,,1,2024-12-12,"<[2024-12-12, 2024-12-12]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ld4ql3rw622g,0,0,0,0,0,0,0,0,piensa que podría ser peor!!!,replied_to,232
